,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({'bread'}),frozenset({'beer'}),0.8112244897959183,0.8979591836734694,0.7755102040816326,0.9559748427672956,1.0646083476272155,0.04706372344856313,2.3177842565597673,0.32147937411095323
1,frozenset({'beer'}),frozenset({'bread'}),0.8979591836734694,0.8112244897959183,0.7755102040816326,0.8636363636363636,1.0646083476272157,0.04706372344856313,1.384353741496599,0.5947368421052637
2,frozenset({'butter'}),frozenset({'beer'}),0.8316326530612245,0.8979591836734694,0.7806122448979592,0.9386503067484663,1.0453151143335193,0.03384006663890049,1.6632653061224496,0.2574767280649636
3,frozenset({'beer'}),frozenset({'butter'}),0.8979591836734694,0.8316326530612245,0.7806122448979592,0.8693181818181819,1.0453151143335193,0.03384006663890049,1.2883762200532394,0.42483660130718987
4,frozenset({'cheese'}),frozenset({'beer'}),0.8316326530612245,0.8979591836734694,0.7857142857142857,0.9447852760736196,1.0521472392638036,0.03894210745522697,1.848072562358276,0.2943722943722942
5,frozenset({'beer'}),frozenset({'cheese'}),0.8979591836734694,0.8316326530612245,0.7857142857142857,0.875,1.0521472392638036,0.03894210745522697,1.3469387755102042,0.4857142857142855
6,frozenset({'beer'}),frozenset({'chocolate'}),0.8979591836734694,0.8112244897959183,0.7755102040816326,0.8636363636363636,1.0646083476272157,0.04706372344856313,1.384353741496599,0.5947368421052637
7,frozenset({'chocolate'}),frozenset({'beer'}),0.8112244897959183,0.8979591836734694,0.7755102040816326,0.9559748427672956,1.0646083476272155,0.04706372344856313,2.3177842565597673,0.32147937411095323
8,frozenset({'coca-cola'}),frozenset({'beer'}),0.8061224489795918,0.8979591836734694,0.7602040816326531,0.9430379746835443,1.0502013808975834,0.036339025406080805,1.7913832199546496,0.2465559872836454
9,frozenset({'beer'}),frozenset({'coca-cola'}),0.8979591836734694,0.8061224489795918,0.7602040816326531,0.8465909090909091,1.0502013808975834,0.036339025406080805,1.2637944066515492,0.4684563758389262
10,frozenset({'beer'}),frozenset({'coffee'}),0.8979591836734694,0.8367346938775511,0.7755102040816326,0.8636363636363636,1.0321507760532151,0.024156601416076562,1.1972789115646256,0.30526315789473596
11,frozenset({'coffee'}),frozenset({'beer'}),0.8367346938775511,0.8979591836734694,0.7755102040816326,0.9268292682926829,1.032150776053215,0.024156601416076562,1.3945578231292506,0.19078947368420998
12,frozenset({'eggs'}),frozenset({'beer'}),0.8061224489795918,0.8979591836734694,0.7755102040816326,0.9620253164556961,1.0713463751438435,0.05164514785506036,2.6870748299319662,0.34349030470914105
13,frozenset({'beer'}),frozenset({'eggs'}),0.8979591836734694,0.8061224489795918,0.7755102040816326,0.8636363636363636,1.0713463751438435,0.05164514785506036,1.4217687074829932,0.6526315789473681
14,frozenset({'honey'}),frozenset({'beer'}),0.8367346938775511,0.8979591836734694,0.7908163265306123,0.9451219512195123,1.0525221729490022,0.039462723865056226,1.8594104308390045,0.30564516129032265
