,support,itemsets
0,0.8438945886139609,frozenset({'beer'})
1,0.8738684369342185,frozenset({'bread'})
2,0.8782941058137196,frozenset({'butter'})
3,0.856366928183464,frozenset({'cheese'})
4,0.8304164152082076,frozenset({'chocolate'})
5,0.8491249245624622,frozenset({'coca-cola'})
6,0.8457050895192114,frozenset({'coffee'})
7,0.8694427680547173,frozenset({'eggs'})
8,0.8276000804667069,frozenset({'honey'})
9,0.8388654194327098,frozenset({'juice'})
10,0.856366928183464,frozenset({'milk'})
11,0.8267954133977067,frozenset({'pens'})
12,0.824180245423456,frozenset({'pepper'})
13,0.8310199155099578,frozenset({'salt'})
14,0.7972238986119493,frozenset({'sugar'})
15,0.8141219070609536,frozenset({'tea'})
16,0.8449004224502112,frozenset({'tomatoes'})
17,0.8764836049084691,frozenset({'vodka'})
18,0.8366525849929591,frozenset({'water'})
19,0.8483202574934621,frozenset({'wine'})
20,0.7978273989136995,"frozenset({'beer', 'bread'})"
21,0.7837457252061959,"frozenset({'beer', 'butter'})"
22,0.7384832025749346,"frozenset({'beer', 'cheese'})"
23,0.7439147052906859,"frozenset({'beer', 'chocolate'})"
24,0.7398913699456849,"frozenset({'beer', 'coca-cola'})"
25,0.7431100382216858,"frozenset({'beer', 'coffee'})"
26,0.7783142224904446,"frozenset({'beer', 'eggs'})"
27,0.7376785355059344,"frozenset({'beer', 'honey'})"
28,0.7423053711526856,"frozenset({'beer', 'juice'})"
29,0.7388855361094347,"frozenset({'milk', 'beer'})"
30,0.7604103802051901,"frozenset({'beer', 'pens'})"
31,0.7153490243411789,"frozenset({'pepper', 'beer'})"
32,0.7388855361094347,"frozenset({'beer', 'salt'})"
33,0.7075035204184269,"frozenset({'beer', 'sugar'})"
34,0.7306376986521826,"frozenset({'beer', 'tea'})"
35,0.7217863608931805,"frozenset({'beer', 'tomatoes'})"
36,0.7738885536109434,"frozenset({'vodka', 'beer'})"
37,0.7415007040836854,"frozenset({'beer', 'water'})"
38,0.7509555421444377,"frozenset({'wine', 'beer'})"
39,0.7871655602494468,"frozenset({'butter', 'bread'})"
40,0.7835445584389459,"frozenset({'cheese', 'bread'})"
41,0.7668477167571918,"frozenset({'chocolate', 'bread'})"
42,0.7765037215851941,"frozenset({'bread', 'coca-cola'})"
43,0.7759002212834439,"frozenset({'coffee', 'bread'})"
44,0.8062764031382016,"frozenset({'bread', 'eggs'})"
45,0.7545765439549387,"frozenset({'bread', 'honey'})"
46,0.7658418829209415,"frozenset({'juice', 'bread'})"
47,0.7756990545161939,"frozenset({'milk', 'bread'})"
48,0.7746932206799437,"frozenset({'bread', 'pens'})"
49,0.7644337155501911,"frozenset({'pepper', 'bread'})"
50,0.7664453832226916,"frozenset({'salt', 'bread'})"
51,0.7396902031784349,"frozenset({'bread', 'sugar'})"
52,0.7614162140414403,"frozenset({'bread', 'tea'})"
53,0.7501508750754375,"frozenset({'bread', 'tomatoes'})"
54,0.796016898008449,"frozenset({'vodka', 'bread'})"
55,0.7555823777911889,"frozenset({'water', 'bread'})"
56,0.7660430496881915,"frozenset({'wine', 'bread'})"
57,0.768054717360692,"frozenset({'cheese', 'butter'})"
58,0.75980687990344,"frozenset({'chocolate', 'butter'})"
59,0.7708710521021928,"frozenset({'butter', 'coca-cola'})"
60,0.7583987125326896,"frozenset({'coffee', 'butter'})"
61,0.7905853952926977,"frozenset({'butter', 'eggs'})"
62,0.7656407161536914,"frozenset({'butter', 'honey'})"
63,0.752162542747938,"frozenset({'juice', 'butter'})"
64,0.7720780527056931,"frozenset({'milk', 'butter'})"
65,0.7539730436531885,"frozenset({'butter', 'pens'})"
66,0.7509555421444377,"frozenset({'pepper', 'butter'})"
67,0.7539730436531885,"frozenset({'salt', 'butter'})"
